hosts,refCount,company,type,jurisdiction
www.yandex.ru,44,Yandex,analytics,ru
api.mch.weixin.qq.com,43,Tencent,advertising,china
"http://googleads.g.doubleclick.net/mads/static/sdk/native/sdk-core-v40.js\""",43,Doubleclick,advertising,us
impact.smaato.net,43,Smaato,advertising,us
ads.scorecardresearch.com,42,Scorecardresearch,advertising,us
"https://impact.applifier.com/mobile/campaigns""",42,Applifier,advertising,finland
"https://impact.staging.applifier.com/mobile/campaigns""",42,Applifier,advertising,finland
"http://e.admob.com/clk?ad_loc=@gw_adlocid@&qdata=@gw_qdata@&ad_network_id=@gw_adnetid@&js=@gw_sdkver@&session_id=@gw_sessid@&seq_num=@gw_seqnum@&nr=@gw_adnetrefresh@""",40,Admob,advertising,us
"http://e.admob.com/imp?ad_loc=@gw_adlocid@&qdata=@gw_qdata@&ad_network_id=@gw_adnetid@&js=@gw_sdkver@&session_id=@gw_sessid@&seq_num=@gw_seqnum@&nr=@gw_adnetrefresh@&adt=@gw_adt@&aec=@gw_aec@""",39,Admob,advertising,us
"http://e.admob.com/nofill?ad_loc=@gw_adlocid@&qdata=@gw_qdata@&js=@gw_sdkver@&session_id=@gw_sessid@&seq_num=@gw_seqnum@&adt=@gw_adt@&aec=@gw_aec@""",39,Admob,advertising,us
ae01.alicdn.com,38,Alibaba,advertising,china
ae01.alicdn.com,38,Linkedin,app,us
www.aol.com,38,AOL,advertising,us
ml.pubnative.net,37,Pubnative,advertising,germany
monitor.uu.qq.com,37,Tencent,advertising,china
ping.chartbeat.net,37,Chartbeat,advertising,us
track.loopme.me,37,Loopme,advertising,uk
"http://googleads.g.doubleclick.net/mads/static/mad/sdk/native/sdk-core-v40.html""",36,Doubleclick,advertising,us
"http://googleads.g.doubleclick.net/mads/static/sdk/native/sdk-core-v40.html""",36,Doubleclick,advertising,us
int.dpool.sina.com.cn,36,Sina,advertising,cn
adsolution.imtt.qq.com,34,Tencent,advertising,china
m.foursquare.com,34,Foursquare,advertising,us
srv.pixel.parsely.com,34,Parsely,analytics,us
test-sdk.mobvista.com,34,Mobvista,advertising,cn
widget.criteo.com,34,Criteo,advertising,fr
t.manage.com,33,Manage,advertising,us
www.igaworks.com,33,Igaworks,advertising,south korea
open.t.sina.com.cn,32,Sina,advertising,cn
strategy.beacon.qq.com,32,Tencent,advertising,china
api.lbs.yandex.net,31,Yandex,analytics,ru
01.pvec.maps.yandex.net,30,Yandex,analytics,ru
02.pvec.maps.yandex.net,30,Yandex,analytics,ru
03.pvec.maps.yandex.net,30,Yandex,analytics,ru
