leaf_parent,n.x,pctOfApps.x,company,n.y,pctOfApps.y,country
Iac,41,0.004273388463518812,Iac,41,0.004273388463518812,US
Criteo,40,0.00416915947660372,Criteo,40,0.00416915947660372,FR
Chartbeat,37,0.0038564725158584403,Chartbeat,37,0.0038564725158584403,US
Webmd,37,0.0038564725158584403,Webmd,37,0.0038564725158584403,US
Electronic Arts,36,0.0037522435289433476,Electronic Arts,36,0.0037522435289433476,US
Movile,36,0.0037522435289433476,Movile,36,0.0037522435289433476,US
AFCV Holdings,34,0.0035437855551131614,Foresee,18,0.0018761217644716738,US
AFCV Holdings,34,0.0035437855551131614,Answers Corporation,16,0.0016676637906414876,US
Miaozhen Systems,34,0.0035437855551131614,Miaozhen Systems,34,0.0035437855551131614,CN
Parsely,34,0.0035437855551131614,Parsely,34,0.0035437855551131614,US
Adsame,33,0.0034395565681980688,Adsame,33,0.0034395565681980688,CN
Otherlevels,33,0.0034395565681980688,Otherlevels,33,0.0034395565681980688,US
Mediaav,29,0.0030226406205376964,Mediaav,29,0.0030226406205376964,CN
Medscape,29,0.0030226406205376964,Medscape,29,0.0030226406205376964,US
Tradedoubler,29,0.0030226406205376964,Tradedoubler,29,0.0030226406205376964,SE
United Internet Media,28,0.0029184116336226037,United Internet Media,28,0.0029184116336226037,DE
The E.w. Scripps Company,26,0.0027099536597924175,The E.w. Scripps Company,26,0.0027099536597924175,US
Nielsen Online,25,0.002605724672877325,Nielsen Online,23,0.0023972666990471386,US
